destination,country,tags,description,rating,popularity,price_level
Canadian Rocky Mountain Parks,Canada,Natural Europe and North America Historic Landmark World Heritage," The contiguous national parks of Banff, Jasper, Kootenay and Yoho, as well as the Mount Robson, Mount Assiniboine and Hamber provincial parks, studded with mountain peaks, glaciers, lakes, waterfalls, canyons and limestone caves, form a striking mountain landscape. The Burgess Shale fossil site, well known for its fossil remains of soft-bodied marine animals, is also found there. ",4.5,56,1
Palau,Palau,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Crystal-clear waters teeming with marine life, lush forests, and a serene atmosphere offer a tranquil escape for nature lovers and adventurers alike.",3.6,62,5
Key West,United States,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical Nightlife Party,"Sun-drenched streets with a laid-back vibe, vibrant art scenes, and ocean breezes create a carefree, tropical escape full of charm.",4.4,95,5
Sinharaja Forest Reserve,Sri Lanka,Natural Asia and the Pacific Historic Landmark World Heritage," Located in south-west Sri Lanka, Sinharaja is the country's last viable area of primary tropical rainforest. More than 60% of the trees are endemic and many of them are considered rare. There is much endemic wildlife, especially birds, but the reserve is also home to over 50% of Sri Lanka's endemic species of mammals and butterflies, as well as many kinds of insects, reptiles and rare amphibians. ",4.9,73,2
Orkhon Valley Cultural Landscape,Mongolia,Cultural Asia and the Pacific Historic Landmark World Heritage," The 121,967-ha Orkhon Valley Cultural Landscape encompasses an extensive area of pastureland on both banks of the Orkhon River and includes numerous archaeological remains dating back to the 6th century. The site also includes Kharkhorum, the 13th- and 14th-century capital of Chingis (Genghis) Khan&rsquo;s vast Empire. Collectively the remains in the site reflect the symbiotic links between nomadic, pastoral societies and their administrative and religious centres, and the importance of the Orkhon valley in the history of central Asia. The grassland is still grazed by Mongolian nomadic pastoralists. ",4.8,71,1
Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape,Spain,Cultural Europe and North America Historic Landmark World Heritage,"Located in a vast mountainous area in the centre of Gran Canaria, Risco Caído comprises cliffs, ravines and volcanic formations in a landscape of rich biodiversity. The landscape includes a large number of troglodyte settlements — habitats, granaries and cisterns — whose age is proof of the presence of a pre-Hispanic culture on the island, which has evolved in isolation, from the arrival of North African Berbers, around the beginning of our era, until the first Spanish settlers in the 15th century. The troglodyte complex also includes cult cavities and two sacred temples, or almogarenes — Risco Caído and Roque Bentayga — where seasonal ceremonies were held. These temples are thought to be linked to a possible cult of the stars and “Mother Earth.”",4.8,71,3
Charlottetown,Canada,City Trip Nature Landscape Culture History Art,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,4.8,96,3
Viña del Mar,Chile,City Trip Nature Landscape Beach Sea Tropical Nightlife Party,"Ocean breezes, golden beaches, and vibrant gardens create a laid-back vibe, perfect for leisurely strolls and soaking in coastal beauty.",4.7,84,3
Centennial Hall in Wrocław,Poland,Cultural Europe and North America Historic Landmark World Heritage," The Centennial Hall, a landmark in the history of reinforced concrete architecture, was erected in 1911-1913 by the architect Max Berg as a multi-purpose recreational building, situated in the Exhibition Grounds. In form it is a symmetrical quatrefoil with a vast circular central space that can seat some 6,000 persons. The 23m-high dome is topped with a lantern in steel and glass. The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interchange of influences in the early 20th century, becoming a key reference in the later development of reinforced concrete structures. ",5.0,51,1
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",Ghana,Cultural Africa Historic Landmark World Heritage," The remains of fortified trading-posts, erected between 1482 and 1786, can still be seen along the coast of Ghana between Keta and Beyin. They were links in the trade routes established by the Portuguese in many areas of the world during their era of great maritime exploration. ",5.0,65,2
Central Sector of the Imperial Citadel of Thang Long - Hanoi,Viet Nam,Cultural Asia and the Pacific Historic Landmark World Heritage," The Thang Long Imperial Citadel was built in the 11th century by the Ly Viet Dynasty, marking the independence of the Dai Viet. It was constructed on the remains of a Chinese fortress dating from the 7th century, on drained land reclaimed from the Red River Delta in Hanoi. It was the centre of regional political power for almost 13 centuries without interruption. The Imperial Citadel buildings and the remains in the 18 Hoang Dieu Archaeological Site reflect a unique South-East Asian culture specific to the lower Red River Valley, at the crossroads between influences coming from China in the north and the ancient Kingdom of Champa in the south. ",4.9,70,1
Hidden Christian Sites in the Nagasaki Region,Japan,Cultural Asia and the Pacific Historic Landmark World Heritage," Located in the north-western part of Kyushu island, this serial property consists of ten villages, remains of the Hara Castle and a cathedral, dating from the 17th to the 19th centuries. They reflect the era of prohibition of the Christian faith, as well as the revitalization of Christian communities after the official lifting of prohibition in 1873.  These sites bear unique testimony to a cultural tradition nurtured by hidden Christians in the Nagasaki region who secretly transmitted their faith during the period of prohibition from the 17th to the 19th century. ",4.6,78,3
Monterrey,Mexico,City Trip Nature Landscape Culture History Art Nightlife Party,"Nestled between dramatic mountains, the city offers a vibrant blend of modern life and cultural richness, with lively streets and friendly locals.",4.9,82,3
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Italy,Cultural Europe and North America Historic Landmark World Heritage," This landscape covers five distinct wine-growing areas with outstanding landscapes and the Castle of Cavour, an emblematic name both in the development of vineyards and in Italian history. It is located in the southern part of Piedmont, between the Po River and the Ligurian Apennines, and encompasses the whole range of technical and economic processes relating to the winegrowing and winemaking that has characterized the region for centuries. Vine pollen has been found in the area dating from the 5th century BC, when Piedmont was a place of contact and trade between the Etruscans and the Celts; Etruscan and Celtic words, particularly wine-related ones, are still found in the local dialect. During the Roman Empire, Pliny the Elder mentions the Piedmont region as being one of the most favourable for growing vines in ancient Italy; Strabo mentions its barrels. ",4.9,83,3
Socotra Archipelago,Yemen,Natural Arab States Historic Landmark World Heritage," Socotra Archipelago, in the northwest Indian Ocean near the Gulf of Aden, is 250 km long and comprises four islands and two rocky islets which appear as a prolongation of the Horn of Africa. The site is of universal importance because of its biodiversity with rich and distinct flora and fauna: 37% of Socotra&rsquo;s 825 plant species, 90% of its reptile species and 95% of its land snail species do not occur anywhere else in the world. The site also supports globally significant populations of land and sea birds (192 bird species, 44 of which breed on the islands while 85 are regular migrants), including a number of threatened species. The marine life of Socotra is also very diverse, with 253 species of reef-building corals, 730 species of coastal fish and 300 species of crab, lobster and shrimp. ",4.5,68,3
Roskilde Cathedral,Denmark,Cultural Europe and North America Historic Landmark World Heritage," Built in the 12th and 13th centuries, this was Scandinavia's first Gothic cathedral to be built of brick and it encouraged the spread of this style throughout northern Europe. It has been the mausoleum of the Danish royal family since the 15th century. Porches and side chapels were added up to the end of the 19th century. Thus it provides a clear overview of the development of European religious architecture. ",4.9,71,1
Costiera Amalfitana,Italy,Cultural Europe and North America Historic Landmark World Heritage," The Amalfi coast is an area of great physical beauty and natural diversity. It has been intensively settled by human communities since the early Middle Ages. There are a number of towns such as Amalfi and Ravello with architectural and artistic works of great significance. The rural areas show the versatility of the inhabitants in adapting their use of the land to the diverse nature of the terrain, which ranges from terraced vineyards and orchards on the lower slopes to wide upland pastures. ",4.7,93,1
Archaeological Site of Philippi,Greece,Cultural Europe and North America Historic Landmark World Heritage," The remains of this walled city lie at the foot of an acropolis in north-eastern Greece, on the ancient route linking Europe and Asia, the Via Egnatia. Founded in 356 BC by the Macedonian King Philip II, the city developed as a “small Rome” with the establishment of the Roman Empire in the decades following the Battle of Philippi, in 42 BCE. The vibrant Hellenistic city of Philip II, of which the walls and their gates, the theatre and the funerary heroon (temple) are to be seen, was supplemented with Roman public buildings such as the Forum and a monumental terrace with temples to its north. Later the city became a centre of the Christian faith following the visit of the Apostle Paul in 49-50 CE. The remains of its basilicas constitute an exceptional testimony to the early establishment of Christianity.   ",4.9,52,3
Kyoto,Japan,City Trip Nature Landscape Culture History Art,"Serene temples and vibrant gardens blend with the gentle rustle of bamboo forests, creating a tranquil yet deeply enriching experience.",4.0,91,5
Huanglong Scenic and Historic Interest Area,China,Natural Asia and the Pacific Historic Landmark World Heritage," Situated in the north-west of Sichaun Province, the Huanglong valley is made up of snow-capped peaks and the easternmost of all the Chinese glaciers. In addition to its mountain landscape, diverse forest ecosystems can be found, as well as spectacular limestone formations, waterfalls and hot springs. The area also has a population of endangered animals, including the giant panda and the Sichuan golden snub-nosed monkey. ",4.8,70,2
Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park,Sudan,Natural Arab States Historic Landmark World Heritage," The property consists of two separate areas: Sanganeb is an isolated, coral reef structure in the central Red Sea and the only atoll, 25 km off the shoreline of Sudan. The second component of the property is made up of Dungonab Bay and Mukkawar Island, situated 125 km north of Port Sudan. It includes a highly diverse system of coral reefs, mangroves, seagrass beds, beaches and islets. The site provides a habitat for populations of seabirds, marine mammals, fish, sharks, turtles and manta rays. Dungonab Bay also has a globally significant population of dugongs.  ",4.6,79,3
Takayama,Japan,City Trip Nature Landscape Culture History Art,"Charming wooden houses, serene streets, and the gentle flow of the river create a peaceful atmosphere perfect for unwinding and exploration.",4.6,84,3
Hong Kong,Hong Kong,City Trip Culture History Art Nightlife Party,"A bustling metropolis where neon lights reflect off harbor waters, offering a vibrant mix of street markets, towering skyscrapers, and serene parks.",3.7,64,5
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,Cultural Asia and the Pacific Historic Landmark World Heritage," The Chhatrapati Shivaji Terminus, formerly known as Victoria Terminus Station, in Mumbai, is an outstanding example of Victorian Gothic Revival architecture in India, blended with themes deriving from Indian traditional architecture. The building, designed by the British architect F. W. Stevens, became the symbol of Bombay as the &lsquo;Gothic City&rsquo; and the major international mercantile port of India. The terminal was built over 10 years, starting in 1878, according to a High Victorian Gothic design based on late medieval Italian models. Its remarkable stone dome, turrets, pointed arches and eccentric ground plan are close to traditional Indian palace architecture. It is an outstanding example of the meeting of two cultures, as British architects worked with Indian craftsmen to include Indian architectural tradition and idioms thus forging a new style unique to Bombay. ",4.7,52,1
Nelson,New Zealand,City Trip Nature Landscape Adventure Hiking,"Sun-drenched coastal charm with vibrant markets and lush vineyards invites a laid-back exploration of art, nature, and local flavors.",4.5,77,3
Hill Forts of Rajasthan,India,Cultural Asia and the Pacific Historic Landmark World Heritage," The serial site, situated in the state of Rajastahan, includes six majestic forts in Chittorgarh; Kumbhalgarh; Sawai Madhopur; Jhalawar; Jaipur, and Jaisalmer. The ecclectic architecture of the forts, some up to 20 kilometres in circumference, bears testimony to the power of the Rajput princely states that flourished in the region from the 8th to the 18th centuries. Enclosed within defensive walls are major urban centres, palaces, trading centres and other buildings including temples that often predate the fortifications within which developed an elaborate courtly culture that supported learning, music and the arts. Some of the urban centres enclosed in the fortifications have survived, as have many of the site's temples and other sacred buildings. The forts use the natural defenses offered by the landscape: hills, deserts, rivers, and dense forests. They also feature extensive water harvesting structures, largely still in use today. ",4.6,80,2
Dougga / Thugga,Tunisia,Cultural Arab States Historic Landmark World Heritage," Before the Roman annexation of Numidia, the town of Thugga, built on an elevated site overlooking a fertile plain, was the capital of an important Libyco-Punic state. It flourished under Roman and Byzantine rule, but declined in the Islamic period. The impressive ruins that are visible today give some idea of the resources of a small Roman town on the fringes of the empire. ",4.7,58,1
Landscape of Grand Pré,Canada,Cultural Europe and North America Historic Landmark World Heritage," Situated in the southern Minas Basin of Nova Scotia, the Grand Pr&eacute; marshland and archaeological sites constitute a cultural landscape bearing testimony to the development of agricultural farmland using dykes and the aboiteau wooden sluice system, started by the Acadians in the 17th century and further developed and maintained by the Planters and present-day inhabitants. Over 1,300&nbsp;ha, the cultural landscape encompasses a large expanse of polder farmland and archaeological elements of the towns of Grand Pr&eacute; and Hortonville, which were built by the Acadians and their successors. The landscape is an exceptional example of the adaptation of the first European settlers to the conditions of the North American Atlantic coast. The site &ndash; marked by one of the most extreme tidal ranges in the world, averaging 11.6&nbsp;m &ndash; is also inscribed as a memorial to Acadian way of life and deportation, which started in 1755, known as the Grand D&eacute;rangement. ",4.8,84,3
"Christiansfeld, a Moravian Church Settlement",Denmark,Cultural Europe and North America Historic Landmark World Heritage," Founded in 1773 in South Jutland, the site is an example of a planned settlement of the Moravian Church, a Lutheran free congregation centred in Herrnhut, Saxony. The town was planned to represent the Protestant urban ideal, constructed around a central Church square. The architecture is homogenous and unadorned, with one and two-storey buildings in yellow brick with red tile roofs. The democratic organization of the Moravian Church, with its pioneering egalitarian philosophy, is expressed in its humanistic town planning. The settlement’s plan opens onto agricultural land and includes important buildings for the common welfare such as large communal houses for the congregation’s widows and unmarried men and women. The buildings are still in use and many are still owned by the local Moravian Church community . ",4.9,54,1
