destination,country,category,price_range,popularity,rating,description
Mumbai,India,City,Low,8.2,4.3,"Bollywood, Gateway of India, and street food"
Delhi,India,City,Low,7.9,4.2,"Red Fort, temples, and history"
Jaipur,India,City,Low,7.8,4.4,"Pink City palaces and forts"
Agra,India,City,Low,8.1,4.5,"Taj Mahal and Mughal architecture"
Goa,India,Beach,Low,7.7,4.3,"Beaches, Portuguese influence, and parties"
Kerala,India,Beach,Low,8.0,4.6,"Backwaters, spices, and Ayurveda"
Dubai,UAE,City,High,8.7,4.4,"Luxury shopping and modern architecture"
Abu Dhabi,UAE,City,High,8.0,4.5,"Sheikh Zayed Mosque and oil wealth"
Sharjah,UAE,City,Low,6.8,4.0,"Cultural heritage and museums"
Cairo,Egypt,City,Low,7.8,4.2,"Pyramids, Sphinx, and Nile River"
Luxor,Egypt,Adventure,Low,8.1,4.5,"Valley of the Kings and temples"
Alexandria,Egypt,City,Low,7.0,4.1,"Mediterranean port and history"
Aswan,Egypt,Adventure,Low,7.5,4.3,"Nubian culture and temples"
Sharm El Sheikh,Egypt,Beach,Medium,7.2,4.2,"Red Sea diving and beaches"
Cape Town,South Africa,Adventure,Medium,7.9,4.6,"Table Mountain and diverse wildlife"
Johannesburg,South Africa,City,Medium,7.1,4.0,"Gold mining history and Apartheid Museum"
Durban,South Africa,Beach,Low,6.9,4.1,"Indian Ocean beaches and culture"
Rio de Janeiro,Brazil,Beach,Medium,8.4,4.5,"Carnival, beaches, and Christ the Redeemer"
Sao Paulo,Brazil,City,Medium,7.5,4.1,"Business capital and culture"
Salvador,Brazil,Beach,Low,7.3,4.2,"African heritage and beaches"
Buenos Aires,Argentina,City,Medium,7.8,4.3,"Tango, beef, and European architecture"
Mendoza,Argentina,Adventure,Low,7.2,4.4,"Wine region and Andes mountains"
Bariloche,Argentina,Adventure,Medium,7.6,4.5,"Lake District and chocolate"
Lima,Peru,City,Low,7.4,4.1,"Colonial architecture and ceviche"
Cusco,Peru,Adventure,Medium,8.0,4.6,"Inca history and Sacred Valley"
Machu Picchu,Peru,Adventure,Medium,8.2,4.8,"Ancient Incan citadel in the mountains"
Arequipa,Peru,City,Low,7.1,4.2,"White City and volcanoes"
Sydney,Australia,City,High,8.6,4.7,"Opera House and Harbour Bridge"
Melbourne,Australia,City,High,8.3,4.6,"Culture, coffee, and sports"
Perth,Australia,City,Medium,7.8,4.4,"Indian Ocean beaches and mining"
Brisbane,Australia,City,Medium,7.5,4.3,"Subtropical climate and parks"
Gold Coast,Australia,Beach,Medium,7.2,4.2,"Theme parks and beaches"
Vancouver,Canada,City,High,8.4,4.6,"Stanley Park and mountains"
Toronto,Canada,City,High,8.1,4.4,"Diverse culture and CN Tower"
Montreal,Canada,City,Medium,8.0,4.5,"French culture and festivals"
Quebec City,Canada,City,Medium,7.7,4.4,"Historic walled city"
Calgary,Canada,City,Medium,7.3,4.2,"Stampede and Rocky Mountains"
Mexico City,Mexico,City,Low,8.0,4.3,"Ancient pyramids and modern metropolis"
Cancun,Mexico,Beach,Medium,7.8,4.2,"Caribbean beaches and Mayan ruins"
Playa del Carmen,Mexico,Beach,Medium,7.6,4.3,"Riviera Maya and cenotes"
Tulum,Mexico,Adventure,Medium,7.9,4.5,"Mayan ruins on the beach"
Oaxaca,Mexico,City,Low,7.4,4.4,"Colonial architecture and mole sauce"
Amsterdam,Netherlands,City,Medium,8.3,4.5,"Canals, bikes, and museums"
Rotterdam,Netherlands,City,Medium,7.2,4.1,"Modern architecture and port"
Utrecht,Netherlands,City,Low,6.9,4.0,"Medieval center and universities"
Berlin,Germany,City,Medium,8.2,4.5,"History, art, and vibrant nightlife"
Hamburg,Germany,City,Medium,7.8,4.3,"Port city and Reeperbahn"
Frankfurt,Germany,City,Medium,7.1,4.0,"Financial capital and museums"
Cologne,Germany,City,Low,7.0,4.1,"Gothic cathedral and beer"
